ID,Draft figures,Poster Qmd file,Render,At least 3 figures,Story,Total
21028913,,2,2,2,2,8
22028065,2,2,2,2,2,10
22028082,2,2,2,2,2,10
23028031,,2,,2,,4
23028040,2,2,2,2,2,10
24028603,,,,2,,2
25542005,,2,2,2,2,8
25542018,,2,2,2,2,8
22028069,2,,,,,2
23028032,1,,,,,1

